iter	Passed	Remaining
0	3	299
1	5	250
2	6	223
3	8	197
4	12	229
5	19	309
6	21	284
7	23	269
8	25	255
9	27	248
10	29	237
11	30	226
12	32	215
13	33	206
14	35	199
15	36	191
16	39	193
17	41	187
18	42	181
19	43	175
20	45	171
21	47	168
22	49	164
23	50	159
24	51	155
25	53	153
26	55	149
27	57	147
28	58	144
29	60	141
30	64	144
31	76	162
32	78	160
33	80	157
34	85	159
35	88	156
36	91	156
37	95	155
38	97	152
39	101	152
40	105	151
41	106	146
42	108	143
43	110	140
44	111	136
45	113	133
46	115	130
47	117	127
48	119	124
49	120	120
50	122	117
51	123	114
52	125	110
53	126	108
54	130	106
55	134	105
56	135	102
57	137	99
58	138	96
59	140	93
60	141	90
61	143	88
62	145	85
63	147	82
64	148	80
65	150	77
66	151	74
67	153	72
68	155	70
69	160	68
70	163	66
71	165	64
72	167	61
73	169	59
74	171	57
75	174	54
76	175	52
77	177	50
78	179	47
79	180	45
80	182	42
81	184	40
82	185	38
83	187	35
84	189	33
85	190	31
86	192	28
87	193	26
88	194	24
89	196	21
90	197	19
91	199	17
92	200	15
93	202	12
94	203	10
95	204	8
96	206	6
97	207	4
98	210	2
99	212	0
