iter	Passed	Remaining
0	150	150104
1	152	76253
2	154	51280
3	156	38928
4	157	31420
5	159	26449
6	160	22806
7	161	20068
8	163	17971
9	164	16273
10	165	14875
11	166	13708
12	168	12759
13	169	11930
14	171	11247
15	172	10603
16	173	10030
17	174	9519
18	175	9063
19	177	8696
20	179	8350
21	180	8014
22	181	7719
23	182	7438
24	184	7176
25	186	7002
26	188	6776
27	189	6566
28	190	6368
29	191	6188
30	192	6026
31	194	5884
32	195	5737
33	196	5593
34	197	5457
35	199	5340
36	200	5227
37	201	5112
38	203	5011
39	204	4911
40	205	4814
41	207	4728
42	208	4638
43	209	4551
44	210	4470
45	212	4397
46	213	4331
47	215	4265
48	216	4195
49	217	4141
50	219	4090
51	221	4044
52	223	3984
53	224	3925
54	225	3868
55	226	3813
56	227	3760
57	230	3744
58	231	3696
59	232	3647
60	233	3600
61	235	3558
62	236	3516
63	237	3479
64	239	3439
65	240	3399
66	241	3361
67	243	3334
68	244	3303
69	246	3278
70	248	3247
71	249	3216
72	251	3187
73	252	3156
74	253	3125
75	254	3097
76	256	3069
77	257	3049
78	259	3021
79	260	2992
80	261	2964
81	262	2936
82	263	2909
83	265	2891
84	266	2867
85	267	2843
86	268	2818
87	269	2794
88	270	2770
89	273	2765
90	274	2743
91	275	2721
92	276	2700
93	278	2679
94	279	2664
95	281	2650
96	282	2629
97	283	2610
98	284	2590
99	286	2576
100	287	2559
101	288	2542
102	290	2526
103	291	2509
104	292	2493
105	293	2478
106	295	2462
107	296	2445
108	297	2429
109	298	2417
110	299	2401
111	301	2390
112	302	2375
113	303	2360
114	304	2345
115	306	2336
116	308	2328
117	309	2315
118	311	2305
119	313	2299
120	317	2303
121	318	2293
122	322	2298
123	324	2294
124	326	2288
125	329	2282
126	331	2278
127	334	2279
128	336	2274
129	339	2271
130	341	2263
131	343	2261
132	347	2266
133	349	2256
134	350	2244
135	352	2236
136	354	2235
137	356	2226
138	357	2215
139	358	2203
140	365	2225
141	371	2247
142	373	2237
143	375	2230
144	377	2224
145	380	2227
146	383	2226
147	385	2220
148	386	2210
149	388	2201
150	389	2192
151	393	2192
152	394	2183
153	398	2189
154	400	2181
155	401	2171
156	402	2160
157	403	2150
158	407	2156
159	409	2148
160	410	2137
161	411	2128
162	412	2120
163	415	2120
164	418	2119
165	422	2120
166	424	2115
167	425	2107
168	426	2099
169	428	2092
170	429	2083
171	432	2079
172	435	2082
173	437	2076
174	438	2068
175	441	2067
176	443	2062
177	445	2055
178	446	2046
179	447	2037
180	449	2034
181	451	2028
182	452	2021
183	454	2016
184	456	2010
185	458	2006
186	459	1998
187	460	1990
188	461	1982
189	463	1976
190	465	1972
191	467	1968
192	469	1961
193	470	1954
194	472	1948
195	473	1941
196	474	1933
197	475	1927
198	477	1919
199	478	1914
200	479	1907
201	481	1900
202	482	1892
203	483	1885
204	484	1880
205	486	1874
206	487	1866
207	488	1859
208	489	1852
209	490	1845
210	491	1838
211	494	1839
212	496	1833
213	497	1827
214	498	1820
215	499	1814
216	501	1808
217	502	1803
218	503	1796
219	504	1790
220	506	1783
221	512	1797
222	514	1794
223	516	1790
224	518	1785
225	519	1780
226	521	1775
227	523	1771
228	524	1765
229	525	1759
230	526	1752
231	527	1746
232	529	1742
233	530	1738
234	532	1732
235	533	1725
236	534	1720
237	535	1715
238	539	1718
239	541	1713
240	542	1708
241	544	1705
242	546	1702
243	547	1697
244	548	1691
245	550	1686
246	553	1685
247	554	1681
248	556	1677
249	557	1672
250	558	1666
251	562	1670
252	571	1686
253	578	1699
254	579	1694
255	581	1689
256	597	1726
257	605	1740
258	607	1737
259	616	1754
260	617	1749
261	622	1753
262	633	1774
263	639	1782
264	640	1777
265	642	1774
266	644	1770
267	648	1771
268	650	1768
269	651	1762
270	653	1757
271	658	1762
272	660	1759
273	662	1754
274	664	1752
275	666	1747
276	667	1741
277	669	1737
278	670	1732
279	674	1734
280	676	1730
281	678	1726
282	679	1722
283	681	1717
284	682	1712
285	683	1706
286	684	1701
287	686	1697
288	688	1693
289	689	1689
290	691	1683
291	692	1678
292	693	1674
293	694	1668
294	696	1663
295	697	1658
296	698	1653
297	699	1648
298	702	1646
299	703	1641
300	704	1636
301	705	1630
302	707	1627
303	708	1622
304	709	1617
305	710	1612
306	712	1607
307	713	1602
308	714	1597
309	717	1596
310	718	1591
311	719	1587
312	720	1582
313	722	1577
314	724	1574
315	725	1570
316	726	1566
317	727	1561
318	731	1562
319	733	1558
320	735	1555
321	736	1550
322	737	1546
323	738	1541
324	739	1536
325	741	1532
326	742	1528
327	746	1529
328	747	1524
329	748	1519
330	749	1515
331	751	1512
332	753	1509
333	754	1504
334	755	1500
335	757	1497
336	760	1496
337	761	1492
338	763	1488
339	764	1484
340	768	1484
341	770	1481
342	771	1476
343	772	1472
344	775	1472
345	777	1470
346	779	1467
347	782	1465
348	783	1461
349	784	1457
350	786	1453
351	787	1449
352	791	1450
353	792	1446
354	794	1442
355	797	1442
356	799	1439
357	800	1434
358	801	1430
359	802	1426
360	805	1425
361	806	1422
362	808	1417
363	809	1413
364	810	1410
365	812	1407
366	813	1403
367	815	1399
368	816	1395
369	817	1391
370	819	1388
371	820	1385
372	821	1381
373	823	1377
374	824	1373
375	825	1370
376	826	1366
377	827	1362
378	828	1358
379	830	1355
380	831	1351
381	833	1348
382	834	1344
383	835	1340
384	836	1336
385	838	1334
386	840	1331
387	842	1328
388	843	1324
389	844	1320
390	845	1316
391	846	1312
392	849	1312
393	850	1308
394	852	1306
395	854	1303
396	857	1302
397	859	1300
398	863	1301
399	866	1299
400	868	1297
401	869	1293
402	871	1291
403	873	1288
404	875	1285
405	876	1282
406	877	1278
407	878	1275
408	880	1272
409	882	1269
410	883	1266
411	885	1263
412	886	1259
413	887	1256
414	891	1256
415	893	1253
416	894	1250
417	895	1247
418	897	1244
419	898	1241
420	900	1238
421	901	1235
422	902	1231
423	905	1230
424	907	1228
425	909	1225
426	911	1223
427	913	1220
428	914	1217
429	916	1215
430	918	1212
431	921	1211
432	924	1210
433	926	1208
434	928	1205
435	929	1202
436	930	1199
437	935	1200
438	937	1197
439	938	1194
440	943	1195
441	944	1192
442	947	1191
443	949	1189
444	951	1187
445	953	1184
446	956	1183
447	958	1180
448	961	1180
449	964	1179
450	966	1176
451	971	1177
452	972	1174
453	974	1171
454	975	1168
455	977	1166
456	980	1165
457	984	1164
458	985	1161
459	987	1158
460	989	1156
461	994	1157
462	996	1155
463	998	1153
464	1000	1151
465	1004	1151
466	1006	1148
467	1009	1147
468	1013	1147
469	1015	1144
470	1016	1141
471	1017	1138
472	1019	1135
473	1023	1135
474	1025	1133
475	1027	1131
476	1030	1130
477	1032	1127
478	1033	1124
479	1034	1121
480	1037	1119
481	1039	1116
482	1040	1114
483	1043	1112
484	1044	1109
485	1045	1106
486	1047	1103
487	1048	1100
488	1051	1098
489	1052	1095
490	1053	1092
491	1054	1089
492	1057	1087
493	1059	1085
494	1060	1082
495	1062	1079
496	1063	1076
497	1066	1075
498	1068	1072
499	1069	1069
500	1070	1066
501	1072	1063
502	1073	1061
503	1075	1058
504	1076	1055
505	1078	1052
506	1079	1049
507	1081	1047
508	1083	1045
509	1085	1043
510	1088	1041
511	1089	1038
512	1091	1036
513	1093	1033
514	1094	1031
515	1096	1028
516	1097	1025
517	1099	1023
518	1101	1021
519	1103	1018
520	1104	1015
521	1105	1012
522	1107	1009
523	1108	1006
524	1110	1004
525	1111	1001
526	1113	998
527	1114	996
528	1115	993
529	1117	991
530	1119	988
531	1120	985
532	1121	982
533	1124	981
534	1125	978
535	1127	975
536	1128	973
537	1130	970
538	1131	967
539	1132	964
540	1134	962
541	1136	960
542	1140	959
543	1141	957
544	1147	957
545	1148	955
546	1150	952
547	1151	949
548	1155	948
549	1156	946
550	1159	944
551	1164	944
552	1166	942
553	1167	939
554	1169	937
555	1172	936
556	1174	934
557	1176	931
558	1177	928
559	1179	926
560	1182	925
561	1184	923
562	1185	920
563	1188	918
564	1191	917
565	1192	914
566	1193	911
567	1195	908
568	1197	907
569	1200	905
570	1201	902
571	1203	900
572	1205	898
573	1207	896
574	1208	893
575	1210	890
576	1211	888
577	1213	886
578	1215	883
579	1217	881
580	1219	879
581	1220	876
582	1222	874
583	1224	871
584	1225	869
585	1227	867
586	1229	865
587	1232	863
588	1234	861
589	1236	859
590	1239	857
591	1245	858
592	1247	856
593	1253	857
594	1256	855
595	1260	854
596	1262	852
597	1264	850
598	1265	847
599	1267	844
600	1268	842
601	1270	840
602	1273	838
603	1275	836
604	1277	833
605	1281	833
606	1282	830
607	1284	827
608	1285	825
609	1286	822
610	1288	820
611	1290	818
612	1291	815
613	1293	812
614	1294	810
615	1296	808
616	1297	805
617	1298	802
618	1299	800
619	1301	797
620	1302	795
621	1304	792
622	1305	790
623	1306	787
624	1307	784
625	1309	782
626	1310	779
627	1311	776
628	1313	774
629	1314	772
630	1315	769
631	1317	767
632	1318	764
633	1319	761
634	1320	759
635	1322	756
636	1324	754
637	1325	752
638	1326	749
639	1328	747
640	1329	744
641	1332	742
642	1334	740
643	1335	738
644	1358	747
645	1363	746
646	1365	744
647	1371	745
648	1374	743
649	1376	741
650	1378	738
651	1380	736
652	1382	734
653	1383	732
654	1386	730
655	1390	728
656	1394	727
657	1397	726
658	1399	724
